customer,st,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
OJ94107,Arizona,Male,Master,561906.85,50335,140,0,Personal Auto,SUV,456
LP84436,California,Female,High School or Below,904711.92,0,127,0,Personal Auto,Sports Car,1087
FF22360,Washington,Female,Doctor,268731.41,82210,68,4,Personal Auto,Four-Door Car,51
LM19287,Oregon,Female,High School or Below,373150.46,0,96,0,Personal Auto,Four-Door Car,460
ZU18643,Nevada,Male,Bachelor,366077.03,64495,92,0,Corporate Auto,Four-Door Car,251
AZ82578,California,Female,College,792882.93,0,72,0,Corporate Auto,Four-Door Car,345
XC67861,Arizona,Female,Bachelor,501175.16,28859,67,3,Corporate Auto,Two-Door Car,321
YC43143,Arizona,Female,High School or Below,798825.83,77330,99,0,Personal Auto,Four-Door Car,99
EK59571,Oregon,Male,College,388545.64,0,105,0,Corporate Auto,Four-Door Car,504
PA38372,Washington,Female,High School or Below,935773.78,33060,117,0,Personal Auto,Four-Door Car,56
RO18530,Washington,Male,Master,254068.98,42557,65,0,Personal Auto,Four-Door Car,57
PD27940,Arizona,Male,High School or Below,488516.25,26372,126,0,Personal Auto,SUV,604
BS77946,Arizona,Female,Bachelor,975330.71,17514,127,0,Personal Auto,SUV,8
YM50253,California,Female,Bachelor,294615.37,89270,74,0,Personal Auto,Four-Door Car,316
NR15332,California,Male,High School or Below,258111.09,29757,65,0,Personal Auto,Four-Door Car,312
RC62865,Oregon,Male,College,351738.58,51814,92,0,Personal Auto,Four-Door Car,56
CC15295,Oregon,Female,Bachelor,974335.01,24028,82,0,Personal Auto,Four-Door Car,393
KA61892,Arizona,Male,College,387364.7,28142,105,0,Personal Auto,Sports Car,701
OS94884,Arizona,Female,Bachelor,764928.2,52705,64,1,Personal Auto,Two-Door Car,128
ND87334,California,Male,High School or Below,228759.69,0,63,0,Corporate Auto,Two-Door Car,679
OY51402,Washington,Female,High School or Below,825576.39,54040,103,0,Personal Auto,SUV,59
YL74911,California,Female,College,871492.21,0,118,0,Personal Auto,SUV,566
GK92563,Washington,Female,Doctor,681923.12,22492,85,0,Personal Auto,Two-Door Car,61
HL53154,California,Male,Bachelor,741619.73,0,77,2,Personal Auto,Four-Door Car,554
RI78966,Oregon,Male,Master,777115.9,21876,68,0,Personal Auto,Four-Door Car,465
IC13702,California,Female,Bachelor,696834.19,0,69,1,Personal Auto,Four-Door Car,496
BE10809,California,Female,High School or Below,425028.26,0,61,1,Personal Auto,Four-Door Car,292
HT87217,Oregon,Female,High School or Below,1977656.65,70699,82,0,Personal Auto,Four-Door Car,256
TH95618,California,Female,High School or Below,2134346.6,0,74,1,Personal Auto,Four-Door Car,355
TS19868,California,Male,College,241313.97,27501,63,0,Personal Auto,Four-Door Car,542
LP45550,Oregon,Female,Doctor,1536384.72,15897,101,0,Personal Auto,Four-Door Car,303
QR87004,Nevada,Female,College,845696.19,25141,73,1,Personal Auto,Four-Door Car,25
OE75747,Nevada,Female,College,218964.25,0,61,3,Personal Auto,Four-Door Car,292
DX91392,California,Male,High School or Below,578018.22,51066,74,0,Personal Auto,Four-Door Car,787
AB72731,California,Female,Bachelor,463998.16,28358,117,0,Personal Auto,Sports Car,84
GX84338,Washington,Female,Doctor,382443.13,62530,95,0,Personal Auto,Four-Door Car,61
IS12901,Arizona,Female,Bachelor,596811.89,90972,74,0,Personal Auto,Two-Door Car,232
BN90616,Washington,Female,Bachelor,859033.5,63110,72,0,Personal Auto,Four-Door Car,68
HH90090,California,Female,Bachelor,407663.47,29549,104,0,Personal Auto,Sports Car,710
IU25463,California,Female,Bachelor,1225260.18,0,115,1,Personal Auto,Four-Door Car,552
KC11055,Nevada,Female,Bachelor,1693627.15,39411,217,2,Personal Auto,Luxury Car,1122
PD33979,Oregon,Male,High School or Below,489243.55,21709,62,0,Personal Auto,Four-Door Car,408
NK71023,Nevada,Male,Bachelor,994230.48,67890,85,0,Personal Auto,Four-Door Car,408
AB13432,California,Male,Bachelor,373583.81,0,110,0,Personal Auto,SUV,792
OZ97704,California,Female,High School or Below,1311752.22,84311,111,4,Personal Auto,SUV,532
UF46533,California,Female,College,457452.41,99316,114,0,Corporate Auto,SUV,754
XP47431,Arizona,Female,Bachelor,547006.06,54507,138,0,Personal Auto,SUV,702
GK73582,California,Female,Bachelor,297884.6,64586,76,0,Personal Auto,Four-Door Car,206
RV98763,Oregon,Male,College,641096.75,61709,82,2,Personal Auto,Four-Door Car,275
II62831,California,Male,Master,447902.31,94656,111,1,Special Auto,SUV,459
XK33449,California,Female,High School or Below,238373.19,0,69,0,Special Auto,Two-Door Car,496
TR85083,California,Male,Bachelor,276449.37,61085,70,1,Personal Auto,Two-Door Car,336
EO95328,Oregon,Female,Bachelor,792010.54,89284,67,3,Personal Auto,Two-Door Car,321
EN21086,Arizona,Female,High School or Below,688909.8,0,63,0,Personal Auto,Four-Door Car,302
YL83902,Washington,Female,Bachelor,327419.46,31686,81,0,Personal Auto,Four-Door Car,430
AZ62651,Oregon,Male,High School or Below,995170.77,56855,255,0,Corporate Auto,Luxury SUV,1836
ZW25874,Oregon,Male,Bachelor,252155.57,53703,67,2,Special Auto,Four-Door Car,67
EH41854,Washington,Female,High School or Below,2370611.34,0,96,1,Personal Auto,Two-Door Car,844
MW70227,California,Male,College,604702.52,20396,76,1,Personal Auto,Four-Door Car,364
SL22297,California,Female,Master,1114030.25,27679,150,0,Personal Auto,SUV,722
RV14138,Nevada,Female,Bachelor,433406.41,23904,123,3,Personal Auto,SUV,590
UO62808,Arizona,Female,High School or Below,279974.79,65351,69,0,Corporate Auto,Four-Door Car,481
ZX64745,California,Male,College,792313.66,0,113,0,Personal Auto,SUV,1124
FL34139,California,Male,High School or Below,368811.09,0,63,3,Personal Auto,Four-Door Car,669
TS11219,California,Male,College,1206745.6,0,116,0,Personal Auto,SUV,1284
XX12304,California,Female,College,292497.67,64459,72,0,Personal Auto,Four-Door Car,240
SD64087,California,Male,College,1501409.27,32961,190,0,Corporate Auto,SUV,912
OY38576,Oregon,Female,High School or Below,927723.38,71416,116,0,Corporate Auto,SUV,556
BG76355,Washington,Female,Bachelor,627412.39,68964,78,0,Personal Auto,Four-Door Car,115
IP66913,California,Male,High School or Below,388664.74,78108,98,0,Personal Auto,Two-Door Car,470
LE95702,California,Male,College,438627.76,10621,67,0,Special Auto,Four-Door Car,321
KX54357,Washington,Male,College,1136526.77,84910,95,0,Corporate Auto,Two-Door Car,383
EZ78112,California,Female,High School or Below,561096.43,77493,70,0,Special Auto,Four-Door Car,307
XN16891,Arizona,Male,College,291289.2,81097,74,0,Personal Auto,Four-Door Car,355
XK31350,Oregon,Female,College,691572.99,96610,85,0,Corporate Auto,Four-Door Car,520
CC30924,Oregon,Male,College,626266.33,30110,159,0,Corporate Auto,Sports Car,466
IT78748,Oregon,Female,High School or Below,650339.7,22081,84,0,Special Auto,Two-Door Car,451
KY33386,Washington,Female,High School or Below,800739.94,0,112,0,Personal Auto,Sports Car,537
CO44221,California,Male,College,292991.65,98473,72,0,Personal Auto,Four-Door Car,345
LK60013,Oregon,Female,Bachelor,596955.3,97431,74,0,Personal Auto,Four-Door Car,355
DE21533,California,Male,Bachelor,547315.99,93870,69,0,Personal Auto,Four-Door Car,331
YS94121,Nevada,Male,High School or Below,564539.67,50366,72,0,Personal Auto,Four-Door Car,428
UK68427,Washington,Male,High School or Below,636926.24,34498,83,0,Personal Auto,Two-Door Car,398
TE49565,Oregon,Female,College,1183376.73,16552,103,0,Personal Auto,SUV,494
RA88421,Oregon,Female,College,612110.79,26787,77,0,Personal Auto,Four-Door Car,369
KQ51983,Nevada,Male,College,515936.97,0,74,0,Personal Auto,Two-Door Car,831
CD88896,Nevada,Female,High School or Below,251459.2,43860,65,0,Corporate Auto,Four-Door Car,156
YV22553,Arizona,Male,High School or Below,866861.13,21474,114,2,Corporate Auto,SUV,373
WU14435,California,Male,Bachelor,496096.54,18174,66,0,Corporate Auto,Four-Door Car,395
XV84099,Arizona,Female,Bachelor,550413.9,0,73,0,Corporate Auto,Four-Door Car,350
HI14283,Oregon,Female,Bachelor,565703.16,0,152,0,Personal Auto,SUV,729
TX17484,California,Female,Bachelor,1518227.98,53863,63,0,Personal Auto,Four-Door Car,105
DE55857,Washington,Female,Bachelor,246544.49,64997,63,1,Personal Auto,Four-Door Car,383
LF66923,Nevada,Female,High School or Below,534312.13,64460,66,0,Corporate Auto,Two-Door Car,316
CN24514,Arizona,Female,College,811982.91,46618,67,0,Personal Auto,Four-Door Car,99
UW32074,Oregon,Female,College,460526.52,0,64,0,Corporate Auto,Four-Door Car,307
PP40919,California,Female,College,237653.35,0,91,5,Personal Auto,Two-Door Car,436
RO73268,California,Male,Bachelor,321107,16269,86,0,Corporate Auto,Two-Door Car,412
HO61691,Arizona,Female,Bachelor,509452.23,72006,64,0,Personal Auto,Four-Door Car,307
BS13062,Arizona,Female,High School or Below,2575527.82,0,81,2,Personal Auto,Four-Door Car,388
FO35655,Oregon,Male,Bachelor,867222.97,0,245,0,Corporate Auto,Luxury SUV,2345
HR10526,California,Male,Master,804473.07,44320,67,0,Personal Auto,Four-Door Car,321
IA63417,Arizona,Female,High School or Below,400151.91,19782,108,0,Personal Auto,Two-Door Car,773
BH35016,Nevada,Female,Bachelor,1670611.7,63933,70,0,Personal Auto,Two-Door Car,424
PK52952,Arizona,Male,Doctor,854441.11,28224,109,0,Personal Auto,SUV,523
OD76309,Washington,Female,College,780531.29,21073,106,1,Personal Auto,SUV,508
IL28481,Oregon,Male,Bachelor,611275.69,63243,77,0,Personal Auto,Four-Door Car,364
GY55092,Nevada,Male,High School or Below,477294.38,20993,133,0,Personal Auto,SUV,638
UF33451,Oregon,Female,Bachelor,1097909.56,94827,135,0,Personal Auto,SUV,354
CF15558,California,Female,Master,500426.38,39161,63,1,Personal Auto,Two-Door Car,283
JM62924,Washington,Male,Bachelor,1322304.38,37534,84,2,Personal Auto,Four-Door Car,403
EM66435,Oregon,Female,Bachelor,262331.54,80210,65,0,Corporate Auto,Four-Door Car,20
QX45933,California,Male,Bachelor,1784019.56,0,62,0,Personal Auto,Four-Door Car,385
JI71369,California,Female,College,510611.18,30110,64,0,Personal Auto,Four-Door Car,140
JU93290,Arizona,Female,College,1793060.45,21708,68,0,Personal Auto,Four-Door Car,326
GU66096,Arizona,Male,High School or Below,545734.26,94731,67,0,Personal Auto,Four-Door Car,321
UC33108,California,Male,Bachelor,656364.41,32375,83,0,Personal Auto,Four-Door Car,398
LW93867,Oregon,Male,College,481252.52,16531,63,0,Corporate Auto,Four-Door Car,102
OU78470,Arizona,Female,Master,2932804.19,32006,94,0,Corporate Auto,Four-Door Car,56
XW90265,Arizona,Female,Bachelor,577352.07,81676,72,0,Personal Auto,Two-Door Car,463
HS67749,California,Male,College,684711.89,71038,86,0,Corporate Auto,Four-Door Car,205
VZ51506,Arizona,Female,High School or Below,359531.29,0,103,0,Corporate Auto,Sports Car,741
UI64281,Nevada,Female,Master,2285561.21,20832,65,0,Personal Auto,Two-Door Car,56
AE98193,Washington,Male,High School or Below,785941.46,0,113,0,Personal Auto,SUV,813
AZ74055,Oregon,Male,High School or Below,411557.74,52405,103,0,Personal Auto,Four-Door Car,494
XS76911,Arizona,Female,High School or Below,502963.88,0,133,0,Personal Auto,Sports Car,795
AY40674,Washington,Female,Bachelor,482141.85,26583,1005,4,Personal Auto,SUV,614
NA12740,Oregon,Male,Master,500431.05,25486,65,0,Special Auto,Two-Door Car,72
UA84837,Arizona,Male,College,863005.39,24065,111,0,Corporate Auto,Four-Door Car,532
DJ51510,Arizona,Female,High School or Below,932208.51,70435,116,0,Personal Auto,Four-Door Car,67
VM58985,California,Male,College,1672756.06,0,76,2,Personal Auto,Two-Door Car,402
OH60605,Oregon,Female,High School or Below,365253.24,39679,92,0,Personal Auto,Two-Door Car,641
UO98052,Nevada,Male,College,615860.12,0,89,0,Personal Auto,Four-Door Car,342
NC53424,California,Male,Bachelor,437608.4,0,69,4,Personal Auto,Two-Door Car,331
LQ13873,Nevada,Male,High School or Below,556945.62,53565,71,1,Personal Auto,Four-Door Car,340
LA97014,Washington,Male,Bachelor,257651.3,37574,66,1,Personal Auto,Two-Door Car,412
NB79936,Washington,Male,Bachelor,834698.32,48259,108,0,Personal Auto,Two-Door Car,73
NT89061,Arizona,Female,High School or Below,632392.39,78532,78,0,Personal Auto,Four-Door Car,374
AF10970,Arizona,Female,Bachelor,597314.34,96163,73,0,Corporate Auto,Four-Door Car,350
ZG48513,California,Male,Bachelor,470667.7,0,72,0,Personal Auto,Four-Door Car,345
JT52858,Oregon,Female,Bachelor,902786.72,99002,112,1,Personal Auto,Four-Door Car,537
RH42306,Arizona,Female,Bachelor,499206.3,0,71,0,Corporate Auto,Four-Door Car,653
US23612,Oregon,Female,High School or Below,910226.78,26049,118,0,Personal Auto,Two-Door Car,121
MF82000,Washington,Female,Bachelor,236534.86,0,66,2,Special Auto,Four-Door Car,159
RF61565,California,Male,College,263697.77,31911,67,0,Personal Auto,Four-Door Car,321
IM94808,Nevada,Male,Bachelor,539583.2,70051,68,0,Corporate Auto,Four-Door Car,42
VI14730,Oregon,Male,High School or Below,838263.01,19683,117,1,Personal Auto,Sports Car,561
YR34119,Washington,Female,College,3116174.52,30916,112,0,Personal Auto,SUV,200
RR77985,Oregon,Female,Bachelor,288774.23,0,80,0,Personal Auto,Four-Door Car,676
QD28391,Washington,Male,College,742584.53,84302,62,0,Personal Auto,Four-Door Car,76
WV17090,California,Male,Bachelor,2558572.78,0,116,0,Corporate Auto,SUV,830
TM23514,Oregon,Male,College,1027260.82,60145,132,0,Personal Auto,SUV,580
MQ68407,Oregon,Female,Bachelor,437636.36,63774,111,0,Personal Auto,Four-Door Car,60
GJ59592,California,Female,Bachelor,531889.66,25134,67,0,Corporate Auto,Four-Door Car,321
FY56083,Oregon,Male,Bachelor,471976.22,37057,61,1,Personal Auto,Four-Door Car,47
UA94723,Oregon,Female,High School or Below,442803.16,58577,110,0,Personal Auto,SUV,303
FW91032,California,Male,High School or Below,587917.61,85857,73,0,Corporate Auto,Four-Door Car,100
DE34457,Oregon,Female,Doctor,941690.85,70602,116,0,Personal Auto,SUV,481
HD32044,Oregon,Female,Master,828815.56,33816,106,2,Corporate Auto,Four-Door Car,508
HH30454,Oregon,Male,Bachelor,3265483.83,0,153,0,Personal Auto,SUV,1101
AH84063,Oregon,Female,College,471945.01,89642,121,4,Corporate Auto,SUV,86
QA17596,California,Female,Bachelor,390347.48,60068,98,0,Personal Auto,Two-Door Car,470
XI41052,California,Female,Bachelor,545725.97,50044,139,0,Personal Auto,SUV,667
DI30528,California,Female,Master,272535.64,36650,69,1,Personal Auto,Four-Door Car,56
SC66359,Arizona,Female,College,443397.37,50653,110,0,Corporate Auto,SUV,262
EN61670,Arizona,Female,Doctor,533246.27,68931,66,0,Personal Auto,Four-Door Car,309
DQ10761,Oregon,Male,Bachelor,231509.5,0,73,1,Corporate Auto,Four-Door Car,350
BQ51587,California,Female,College,541195.37,0,73,0,Personal Auto,Four-Door Car,365
JE21522,California,Male,Bachelor,958733.23,39266,80,0,Personal Auto,Four-Door Car,384
WS47147,California,Male,College,2210350.72,0,102,0,Personal Auto,SUV,489
ZA64638,Nevada,Female,High School or Below,976494.53,0,98,1,Personal Auto,Four-Door Car,705
EW38459,Nevada,Female,Bachelor,256715.15,40864,65,0,Corporate Auto,Four-Door Car,9
QW87316,Oregon,Female,College,265062.28,39035,68,0,Personal Auto,Four-Door Car,244
IC43478,California,Male,Bachelor,1126436.33,34923,98,0,Personal Auto,Two-Door Car,639
TE34064,California,Male,High School or Below,216852.35,0,63,0,Personal Auto,Four-Door Car,453
WU60905,California,Female,High School or Below,861066.75,0,111,0,Corporate Auto,SUV,532
YM18992,California,Female,College,283464.62,24506,71,0,Personal Auto,Two-Door Car,511
PD55753,Oregon,Male,High School or Below,893013.97,0,82,0,Personal Auto,Four-Door Car,554
KU56006,Arizona,Female,College,553638.7,52220,70,1,Personal Auto,Four-Door Car,336
MJ69973,Arizona,Male,High School or Below,284085.43,0,74,0,Personal Auto,Two-Door Car,402
TW43626,California,Male,College,808288.1,53554,67,0,Personal Auto,Four-Door Car,327
XX84133,California,Male,Bachelor,525473.43,34476,67,1,Corporate Auto,Four-Door Car,5
ZW84453,Arizona,Female,Bachelor,511623.76,0,70,0,Personal Auto,Four-Door Car,131
HO29524,California,Male,College,303464.7,68205,76,0,Personal Auto,Two-Door Car,99
VE89726,California,Female,High School or Below,802489.99,0,119,1,Personal Auto,SUV,856
GE87503,California,Male,High School or Below,1821114.32,53690,154,0,Personal Auto,SUV,739
PX90263,Oregon,Male,High School or Below,512156.33,0,72,0,Personal Auto,Four-Door Car,518
NI17718,California,Female,High School or Below,215017.86,0,61,0,Personal Auto,Four-Door Car,292
FY32213,California,Female,High School or Below,559538.99,74454,71,0,Personal Auto,Four-Door Car,340
RZ13254,Nevada,Female,Bachelor,756282.4,0,73,0,Personal Auto,Four-Door Car,350
GN45013,Oregon,Male,High School or Below,538585.32,29664,71,0,Personal Auto,Four-Door Car,340
NM39588,Washington,Female,Doctor,267805.83,72450,66,0,Corporate Auto,Four-Door Car,84
KU84464,Nevada,Female,Bachelor,942256.79,47272,79,3,Personal Auto,Four-Door Car,64
YH43527,Oregon,Female,College,360586.03,21585,92,0,Corporate Auto,Four-Door Car,441
RO30676,California,Female,College,776259.06,23827,106,2,Personal Auto,Four-Door Car,37
QL59704,Arizona,Female,College,2344490.05,69906,74,2,Corporate Auto,Four-Door Car,202
QH19450,California,Female,High School or Below,255817.82,0,72,0,Corporate Auto,Four-Door Car,345
SA54664,Washington,Male,Master,265438.1,73196,66,1,Personal Auto,Four-Door Car,85
CI38330,Washington,Male,Bachelor,254978.61,72217,6464,0,Personal Auto,Four-Door Car,91
WB38524,California,Male,High School or Below,296959.33,46131,74,0,Personal Auto,Two-Door Car,355
CE56187,Oregon,Female,Master,436312.46,54514,109,3,Personal Auto,SUV,286
JL19416,California,Female,High School or Below,588430.86,0,161,0,Personal Auto,SUV,1159
JZ61422,Nevada,Female,College,527219.16,96668,66,0,Personal Auto,Four-Door Car,316
LA13377,California,Male,Doctor,550989.57,78879,69,1,Personal Auto,Four-Door Car,466
NC99948,Nevada,Male,College,1631368.35,0,69,0,Personal Auto,Four-Door Car,331
QD34785,Arizona,Female,Bachelor,567805.02,0,76,0,Personal Auto,Four-Door Car,364
RO26085,California,Female,Bachelor,1210120.88,0,112,0,Personal Auto,Sports Car,1252
ES57969,Oregon,Male,Bachelor,245357.08,29735,69,0,Personal Auto,Four-Door Car,331
JK55587,California,Male,High School or Below,507566.27,23082,65,0,Special Auto,Four-Door Car,312
RN97635,Arizona,Male,Bachelor,321497.94,53984,80,0,Corporate Auto,Four-Door Car,421
BI76326,California,Female,College,1227534.31,52135,156,0,Personal Auto,SUV,430
JA34909,California,Female,College,272221.07,17576,71,0,Corporate Auto,Four-Door Car,398
OJ90342,Oregon,Female,Bachelor,245744.09,29486,62,0,Personal Auto,Four-Door Car,7
CM88932,Oregon,Female,Master,355484.53,58557,88,0,Corporate Auto,Four-Door Car,55
JJ97525,California,Male,Bachelor,492954.97,25632,63,0,Personal Auto,Two-Door Car,351
XV21647,California,Female,High School or Below,803645.03,0,112,0,Personal Auto,Sports Car,806
MC83487,Arizona,Male,Bachelor,427691.53,18768,68,3,Corporate Auto,Four-Door Car,647
BL90769,California,Female,Bachelor,3347334.95,33190,106,0,Personal Auto,SUV,508
CR57148,Oregon,Female,Master,596058.14,47945,74,0,Personal Auto,Two-Door Car,128
CP85232,Arizona,Male,College,4479546.94,58778,126,0,Special Auto,SUV,302
YL74732,California,Female,High School or Below,383211.81,15192,100,0,Personal Auto,SUV,480
FG16766,California,Female,Bachelor,683793.26,51859,171,0,Personal Auto,SUV,1003
NV55438,Nevada,Female,High School or Below,528526.82,23422,72,0,Personal Auto,Two-Door Car,518
RM10880,California,Female,College,309651.12,21604,79,0,Corporate Auto,Four-Door Car,379
GL56175,Arizona,Male,College,358971.07,79298,90,0,Personal Auto,Four-Door Car,244
UK52289,Arizona,Female,Bachelor,258240.85,76731,64,0,Special Auto,Four-Door Car,201
OT85112,Washington,Male,College,340391.94,38460,88,1,Personal Auto,Four-Door Car,91
BC62782,Arizona,Female,College,1357567.6,48534,115,1,Personal Auto,SUV,552
TI19722,Washington,Male,Doctor,343613.43,30817,88,0,Corporate Auto,Four-Door Car,91
JP30654,Oregon,Female,College,2868582.79,48412,104,0,Personal Auto,SUV,707
UM45563,Washington,Male,Bachelor,450267.97,68798,114,0,Personal Auto,SUV,92
EN60878,Oregon,Male,Bachelor,618311.15,23712,85,0,Personal Auto,Four-Door Car,376
JF36291,California,Male,College,387364.7,28142,105,0,Personal Auto,Sports Car,701
BK59444,California,Female,Master,1892933.06,72196,68,0,Personal Auto,Four-Door Car,152
MK70700,California,Male,Master,555329.58,68197,69,0,Personal Auto,Four-Door Car,176
IW71076,California,Male,Bachelor,501125.92,75248,63,0,Corporate Auto,Four-Door Car,104
AP98768,California,Female,College,1044244.63,0,98,0,Personal Auto,Four-Door Car,941
OM24164,Nevada,Male,Bachelor,219961.78,0,65,1,Personal Auto,Two-Door Car,468
HR85211,Washington,Female,Master,512317.09,89879,63,0,Personal Auto,Two-Door Car,94
VC87846,Oregon,Male,High School or Below,748431.05,46998,96,0,Corporate Auto,Four-Door Car,460
ZM92052,Oregon,Male,Bachelor,261302.31,57099,67,0,Personal Auto,Two-Door Car,67
ON73702,Arizona,Female,Bachelor,908063.97,33897,114,0,Corporate Auto,SUV,539
QQ90441,Nevada,Female,High School or Below,1377097.62,59207,116,0,Personal Auto,Four-Door Car,556
HU35721,Oregon,Male,High School or Below,287682.29,40171,73,0,Personal Auto,Four-Door Car,350
YP47665,Washington,Male,Doctor,540891.15,80192,67,0,Personal Auto,Four-Door Car,95
FU99476,Washington,Male,High School or Below,677030.68,74422,85,1,Personal Auto,Four-Door Car,95
AG85615,Oregon,Male,College,2414387.56,0,87,0,Special Auto,Four-Door Car,626
OY74069,Arizona,Female,College,353805.95,0,67,5,Personal Auto,Four-Door Car,321
DJ91267,Nevada,Female,Bachelor,2909123.94,34226,244,0,Personal Auto,Luxury SUV,494
KB72438,California,Female,High School or Below,1983420.12,65989,123,1,Personal Auto,SUV,115
TR67616,Oregon,Male,High School or Below,473136.7,30686,61,0,Corporate Auto,Four-Door Car,19
GF65731,California,Female,Master,3553784.6,0,113,0,Personal Auto,Sports Car,799
HB67642,Arizona,Female,High School or Below,3461137.9,20090,109,0,Personal Auto,Sports Car,523
DP84567,California,Male,High School or Below,2021630.88,0,183,0,Personal Auto,Luxury SUV,878
VV77534,Oregon,Male,College,1397651.93,77094,176,0,Personal Auto,SUV,444
GL67540,California,Female,College,590408.82,97413,73,0,Personal Auto,Four-Door Car,268
SV50502,Oregon,Female,Master,559583.5,79189,69,0,Corporate Auto,Four-Door Car,331
UK59698,California,Female,High School or Below,229430.36,0,62,0,Personal Auto,Two-Door Car,297
OA57352,Arizona,Female,College,627391.19,18577,86,0,Personal Auto,Four-Door Car,412
ZF84449,Oregon,Female,College,372672.8,0,112,1,Special Auto,Sports Car,806
AX86150,Washington,Male,High School or Below,265671.31,62777,67,0,Personal Auto,Two-Door Car,101
SW31412,Oregon,Female,College,1480805.62,41440,62,1,Personal Auto,Four-Door Car,297
RE81445,Oregon,Female,College,573459.82,98132,71,0,Personal Auto,Two-Door Car,50
RM24280,Oregon,Female,High School or Below,417769.7,0,112,0,Personal Auto,Four-Door Car,537
UX38930,Arizona,Female,Master,1036434.75,58327,129,0,Personal Auto,SUV,347
MT41386,Washington,Male,Bachelors,287543.24,84768,72,0,Personal Auto,Two-Door Car,110
WZ40465,Washington,Female,Bachelor,504129.96,36234,63,0,Personal Auto,Four-Door Car,113
JB50798,Oregon,Female,Master,962452.44,25629,124,2,Corporate Auto,Sports Car,595
IP69763,Washington,Female,College,2191440.55,77311,181,0,Personal Auto,SUV,113
HX74855,Washington,Male,High School or Below,247152.84,95697,61,0,Personal Auto,Two-Door Car,114
QN65180,Oregon,Female,Bachelor,2190391.36,22254,79,0,Personal Auto,Four-Door Car,125
VQ38776,Oregon,Female,College,530375.95,0,76,0,Personal Auto,Four-Door Car,395
BH86846,Washington,Male,High School or Below,2070825.88,92079,65,1,Corporate Auto,Four-Door Car,114
QG45324,Oregon,Female,High School or Below,820486.32,0,73,0,Personal Auto,Four-Door Car,350
MN61620,Arizona,Female,College,987729.57,67752,131,4,Personal Auto,Sports Car,168
YH86390,California,Female,Bachelor,481500.97,25398,64,0,Corporate Auto,Four-Door Car,307
YH61661,California,Male,High School or Below,826063.98,33321,105,0,Special Auto,SUV,504
NL93182,Nevada,Male,Bachelor,254945,0,78,0,Corporate Auto,Four-Door Car,845
WE68644,Oregon,Female,Bachelor,380392.18,20325,100,0,Personal Auto,Sports Car,668
EZ30498,Oregon,Male,Bachelor,863540.35,13129,117,0,Personal Auto,SUV,700
QY74517,Oregon,Female,High School or Below,551055.9,0,73,0,Personal Auto,Four-Door Car,525
NM88660,Nevada,Male,Master,358588.41,49080,91,0,Corporate Auto,Four-Door Car,25
MZ82036,Nevada,Male,College,488925.28,42536,63,0,Personal Auto,Four-Door Car,375
ID20929,Oregon,Male,Bachelor,275694.17,29926,74,0,Corporate Auto,Four-Door Car,418
EY50028,Nevada,Male,Doctor,328954.74,0,86,0,Corporate Auto,Two-Door Car,398
